asset_id,hostname,business_unit,criticality,data_sensitivity_tier,financial_value_usd,downtime_cost_per_hour_usd,regulatory_penalty_potential_usd,os
AST-1000,host-92-operations.internal,Sales,3,Internal,236490,14289,0,Windows 10
AST-1001,host-34-sales.internal,Finance,3,Internal,236883,12072,0,RHEL 8
AST-1002,host-60-sales.internal,Operations,1,Public,51644,4316,0,RHEL 8
AST-1003,host-85-sales.internal,Sales,4,Confidential,383156,19548,0,Windows 10
AST-1004,host-24-finance.internal,Finance,3,Internal,237789,12747,0,Windows 10
AST-1005,host-95-engineering.internal,Operations,3,Internal,163527,5190,0,Windows Server 2019
AST-1006,host-53-finance.internal,Engineering,3,Internal,139011,3828,0,Ubuntu 22.04
AST-1007,host-58-hr.internal,Operations,3,Internal,156777,5598,0,Windows 10
AST-1008,host-59-finance.internal,HR,3,Internal,266724,14025,0,Windows 10
AST-1009,host-83-engineering.internal,HR,4,Confidential,344532,10192,1000000,Ubuntu 22.04
AST-1010,host-58-operations.internal,Finance,4,Confidential,336608,4356,1000000,RHEL 8
AST-1011,host-18-operations.internal,Operations,3,Internal,178875,13440,0,Windows 10
AST-1012,host-75-engineering.internal,Sales,4,Confidential,267640,4700,1000000,Windows 10
AST-1013,host-54-hr.internal,Operations,3,Internal,47277,7092,0,Ubuntu 22.04
AST-1014,host-15-hr.internal,Engineering,3,Internal,201099,7428,0,Windows 10
AST-1015,host-10-sales.internal,Finance,4,Confidential,219020,18328,1000000,Windows 10
AST-1016,host-90-operations.internal,HR,3,Internal,293160,5436,0,RHEL 8
AST-1017,host-28-operations.internal,HR,3,Internal,67971,8427,0,Ubuntu 22.04
AST-1018,host-66-operations.internal,Finance,5,Restricted,307100,11220,1000000,Ubuntu 22.04
AST-1019,host-66-engineering.internal,Engineering,3,Internal,135027,11811,0,RHEL 8
AST-1020,host-59-engineering.internal,Finance,3,Internal,153495,11577,0,Windows Server 2019
AST-1021,host-89-engineering.internal,Sales,3,Internal,119322,7107,0,RHEL 8
AST-1022,host-96-hr.internal,Engineering,5,Restricted,242280,5910,50000,Ubuntu 22.04
AST-1023,host-17-finance.internal,Engineering,4,Confidential,293108,9012,0,Ubuntu 22.04
AST-1024,host-49-sales.internal,Operations,3,Internal,77064,9384,0,Ubuntu 22.04
AST-1025,host-70-engineering.internal,Engineering,3,Internal,216654,5832,0,Ubuntu 22.04
AST-1026,host-10-operations.internal,Operations,3,Internal,136599,8487,0,RHEL 8
AST-1027,host-63-engineering.internal,Sales,3,Internal,115887,7779,0,Ubuntu 22.04
AST-1028,host-34-finance.internal,Operations,3,Internal,258462,5556,0,Ubuntu 22.04
AST-1029,host-43-sales.internal,Sales,5,Confidential,135120,7870,250000,Windows Server 2019
AST-1030,host-29-operations.internal,Operations,4,Restricted,63648,8152,250000,Ubuntu 22.04
AST-1031,host-17-engineering.internal,Engineering,2,Public,153116,4896,0,Windows Server 2019
AST-1032,host-71-engineering.internal,Operations,4,Restricted,320896,18956,0,Ubuntu 22.04
AST-1033,host-47-operations.internal,Operations,4,Confidential,204248,10800,50000,RHEL 8
AST-1034,host-54-engineering.internal,HR,2,Public,118672,4178,0,Windows 10
AST-1035,host-62-engineering.internal,Finance,3,Internal,205473,5973,0,RHEL 8
AST-1036,host-43-engineering.internal,Finance,5,Restricted,203790,6840,250000,Windows 10
AST-1037,host-88-operations.internal,Finance,4,Restricted,220552,13596,1000000,Windows 10
AST-1038,host-60-sales.internal,Operations,4,Restricted,246540,7476,1000000,Windows 10
AST-1039,host-97-operations.internal,Operations,3,Internal,91344,6510,0,Ubuntu 22.04
AST-1040,host-51-engineering.internal,Operations,4,Confidential,98812,15312,0,Windows Server 2019
AST-1041,host-93-finance.internal,Finance,5,Restricted,237950,9380,0,Windows Server 2019
AST-1042,host-33-finance.internal,Finance,4,Restricted,191220,8648,250000,Windows Server 2019
AST-1043,host-97-sales.internal,Engineering,3,Internal,76050,14061,0,RHEL 8
AST-1044,host-91-hr.internal,Sales,3,Internal,91341,6279,0,Windows Server 2019
AST-1045,host-49-engineering.internal,Engineering,4,Confidential,267888,17224,1000000,Windows Server 2019
AST-1046,host-22-hr.internal,Finance,5,Confidential,151600,19410,50000,Windows 10
AST-1047,host-35-operations.internal,Operations,3,Internal,198834,9858,0,Windows Server 2019
AST-1048,host-22-finance.internal,Operations,5,Confidential,312385,16200,1000000,Ubuntu 22.04
AST-1049,host-55-engineering.internal,Finance,4,Restricted,83636,11604,1000000,Windows 10
